movie_id,country_id
709,GB
709,US
253,GB
660,BS
660,FR
660,GB
660,US
11377,US
26149,US
492,US
128,JP
2020,US
9481,US
9008,US
16281,US
16288,US
1694,US
37094,US
21610,US
957,US
11886,US
11040,US
1621,US
47941,US
21349,US
1832,US
10228,JP
10228,US
9289,US
11165,JP
11165,US
24226,US
2668,DE
2668,US
36643,GB
36643,US
99,ES
99,FR
5156,IT
24276,US
11393,US
10998,US
36094,US
9013,US
2924,US
177,US
38557,US
9946,US
863,US
22267,US
55123,US
9586,US
32669,US
10402,US
497,US
1715,US
25188,US
2277,DE
2277,US
10137,DE
10137,US
334,US
9563,US
1850,US
926,US
1213,US
10471,US
10400,US
10384,CH
10384,US
5924,US
10493,AU
10493,US
13342,US
35119,AU
35119,US
14919,US
75531,US
2005,US
11087,US
7305,US
9475,US
8872,US
11287,US
9869,US
619,US
9374,US
11259,US
1923,US
10206,US
9367,MX
9367,US
12143,US
4234,US
9605,US
8374,CA
8374,US
29076,US
1907,GB
1907,US
77908,US
14181,US
10385,DE
10385,US
2787,US
2069,CA
2069,US
901,US
10098,US
2155,US
47816,US
25166,US
1831,US
28172,US
2067,US
622,FR
622,PT
622,ES
20283,US
5693,US
287,US
968,US
838,US
820,US
918,US
61178,US
16535,US
462,US
9532,US
1541,US
8469,US
925,US
13939,US
14373,US
24873,US
34746,CA
34746,US
996,US
1496,US
1498,HK
1498,US
1497,HK
1497,US
1499,HK
1499,US
33762,US
11690,US
801,US
1879,US
2085,US
16222,US
37722,CA
37722,US
3082,US
24748,US
990,US
840,US
2291,US
16620,US
526,US
13346,US
243,GB
243,US
10501,US
11478,CA
11478,US
6644,US
879,US
11327,GB
11327,US
1700,US
34322,US
10774,US
10083,US
10747,US
38809,US
10559,US
20697,US
2621,US
10479,US
13665,US
12309,US
106,US
10333,US
1359,CA
1359,US
4967,US
10557,GB
10518,US
11977,US
18041,US
14736,US
3536,FR
3536,US
1443,US
10424,US
889,US
10564,US
39283,US
98,GB
98,US
11129,GB
11129,IE
38925,US
5491,US
10560,US
10688,US
5683,US
10567,US
9285,US
955,DE
955,US
8584,HK
8584,US
962,US
668,GB
668,US
691,GB
691,US
698,FR
698,GB
698,US
682,GB
682,US
9600,DE
9600,US
2768,US
10911,GB
10911,US
23939,US
11072,US
985,US
938,IT
938,ES
938,DE
1551,US
10246,US
10246,CA
19698,CA
19698,US
23919,CA
23919,US
169,US
865,US
9663,US
10128,US
9659,AU
8810,AU
9355,AU
635,US
10068,US
11495,US
10117,US
9679,US
51333,FR
51333,GB
51333,US
482,US
592,US
12611,US
9040,IT
9040,US
25364,US
5121,US
6978,US
10571,US
479,DE
479,US
7450,US
31023,ES
7443,GB
2123,US
2024,DE
2024,US
17711,DE
17711,US
2133,US
15379,US
12764,US
16094,US
494,US
493,US
4244,US
4247,US
20770,US
32275,US
36657,US
36047,US
2655,US
12599,JP
12599,US
11940,GB
10276,US
12107,US
6282,US
9383,DE
9383,US
5551,US
33408,US
11589,RS
11589,US
15158,US
26515,US
39473,US
8843,DE
8843,US
10643,JP
37136,US
37137,US
3110,US
9651,GB
9651,US
11398,CA
11398,US
1588,US
12211,US
786,US
12212,CA
12212,US
16,AR
16,DK
16,FI
16,FR
16,DE
16,IS
16,IT
16,NL
16,NO
16,SE
16,GB
16,US
10637,US
9003,GB
9064,GB
11569,CA
11569,US
2160,US
2161,US
10461,US
1597,US
16888,US
18498,US
71,FR
71,GB
1636,US
10647,US
24100,DE
24100,NL
24100,US
4327,US
4958,US
11978,US
8870,AU
8870,US
681,GB
681,US
8452,US
10862,US
8871,DE
8871,US
16340,DE
16340,US
10481,US
10876,DE
10876,GB
10876,US
9741,US
146,CN
146,HK
146,TW
146,US
11849,CZ
11849,US
11678,NZ
11678,PK
11678,US
2669,US
2669,GB
708,GB
708,US
1857,US
10673,US
2604,US
10132,CA
10132,US
11064,US
107,GB
107,US
40820,US
392,GB
392,US
8859,US
11688,US
12509,US
3981,US
711,US
2046,US
8358,US
25520,GB
25520,FR
25520,DE
25520,US
1493,US
134,FR
134,GB
134,US
10577,US
11973,US
1900,DE
1900,US
10873,US
15739,US
15413,US
11209,US
13715,US
9989,CA
9989,US
9816,US
20637,US
16723,US
2018,US
10937,US
90,US
12919,US
15785,US
10110,US
764,US
580,US
13703,US
1547,US
10019,US
11649,US
13509,US
24940,US
9740,GB
9740,US
10878,US
19405,US
1921,US
23685,US
12138,US
6073,MX
6073,US
82103,BR
2749,DE
2749,US
22013,US
14460,US
9594,US
2453,US
33676,CA
33676,US
4587,US
11454,US
4192,GB
4985,US
23730,US
853,IE
853,US
853,DE
853,GB
10877,CA
10877,US
77,US
10054,US
10646,US
2575,IE
2575,US
55,MX
2043,CA
2043,DE
2043,US
4133,US
10991,JP
634,FR
634,IE
634,GB
634,US
10956,US
9290,AU
9290,US
111,US
10477,AU
10477,CA
10477,US
1734,US
8095,GB
8095,US
8095,CH
849,ES
849,GB
849,IT
849,US
11307,US
78133,US
25221,US
9062,US
9476,US
5852,US
808,US
824,AU
824,US
676,US
22414,US
1406,US
1632,US
966,US
11896,US
5923,US
11090,US
9397,US
9705,AU
9705,US
1089,US
17494,JP
17494,US
29393,US
9576,US
10865,US
1995,US
10808,US
9799,DE
9799,US
644,US
16161,US
10691,US
10992,US
2140,FR
2140,US
4248,CA
4248,US
11286,US
15875,US
23439,US
11697,US
11536,US
10339,US
13938,US
10540,GB
9462,HK
2114,JP
2114,US
8835,US
11371,DE
11371,US
15745,US
9395,HK
9395,US
14506,IT
14506,GB
59797,US
19382,US
9599,US
7520,US
10126,US
9602,US
3980,US
10127,US
26386,US
10675,FR
10675,US
2617,US
30690,US
12144,IE
12144,US
13704,US
12120,US
38617,US
9604,US
24929,US
10925,US
24266,AU
11503,US
38560,IT
38560,US
8337,US
9493,US
11352,US
45225,US
1648,US
4105,US
10142,TH
10142,US
10134,US
2210,GB
2210,US
20713,US
9085,US
505,US
10345,US
10222,US
14372,IT
14372,US
15138,US
9972,US
9494,US
9942,US
24739,US
27418,US
39002,US
12663,US
12663,ZA
331,US
327,GB
327,JP
327,US
869,US
36095,JP
2171,US
10135,US
12150,US
11185,US
12521,US
9618,US
31608,US
2616,US
7091,US
183,US
2148,US
2057,FR
2057,US
9880,US
5175,US
20391,US
11542,US
2770,US
12610,US
13496,US
10972,US
9896,CA
9896,US
2294,US
10016,US
26602,US
8922,DE
8922,US
34223,US
11370,GB
11370,US
11370,DE
11370,LU
12508,US
18734,US
2176,US
20857,DE
20857,US
2185,US
10696,US
2034,AU
2034,US
31016,US
11576,US
15393,US
248,US
13766,US
12103,AU
12103,US
11313,AU
11313,US
9398,DE
9398,US
10866,US
34549,US
9778,US
16121,US
16769,US
3172,US
17708,US
1018,FR
1018,US
11380,US
984,US
14811,US
768,CZ
768,GB
2100,US
11091,US
167,DE
167,GB
167,US
141,US
11456,US
585,US
10796,US
23949,US
9889,US
13408,US
671,GB
671,US
14369,US
1535,GB
1535,US
1433,ES
1433,MX
16085,US
10656,FR
72277,AU
11033,US
3604,US
10649,US
17689,US
14854,US
10650,US
8007,US
161,US
194,FR
194,DE
11397,US
1903,US
9428,US
27150,US
26978,US
8386,US
12589,US
120,NZ
120,US
11086,US
453,US
37257,US
8489,US
855,GB
855,US
5279,DE
5279,GB
5279,US
10950,US
1365,US
24206,CA
24206,GB
11595,US
848,GB
9610,US
15035,US
33155,US
150,US
15050,US
10423,US
651,US
11362,US
2637,US
10229,US
50819,US
50819,PH
9606,JP
31674,US
20009,CA
20009,US
47871,US
11870,US
9884,US
11212,US
69928,US
17130,US
10592,US
8470,US
16690,AU
16690,CA
16690,US
9272,US
14475,US
10052,DE
10052,US
11979,AU
11979,US
23479,US
10590,DE
10590,US
46717,US
35614,US
17058,US
13950,US
2135,US
15186,US
10935,US
14729,US
425,US
1576,FR
1576,DE
1576,GB
1576,US
5851,AU
5851,US
15647,US
1391,MX
13006,GB
10627,US
36586,DE
36586,US
15028,US
14635,US
1791,AT
1791,FR
11560,US
11452,US
548,JP
1537,US
12149,DE
12149,IT
12149,US
11812,US
35080,DE
35080,GB
35080,US
441,US
8346,CA
8346,US
31671,US
11892,US
9334,US
9334,DE
9334,BE
11470,US
11468,US
19085,US
28117,US
46691,US
48482,US
557,US
32221,US
12227,US
2251,US
245,GB
245,US
1894,US
15417,US
1957,US
320,US
9023,US
4614,US
12277,US
13153,TH
13153,US
3132,US
2501,US
2501,DE
2501,CZ
9637,US
12100,US
27945,US
30194,US
13909,US
11544,US
180,US
2022,US
608,US
59387,US
6278,IE
6278,GB
6278,US
4147,US
49370,US
1842,US
11442,US
8665,CA
8665,DE
8665,GB
8665,US
10996,US
818,US
39141,US
8764,GB
8764,US
2675,US
9488,US
9962,NL
9962,DE
9962,US
9573,US
7451,US
11692,AU
11692,US
9266,DE
9266,US
8653,KR
30072,GB
30072,US
9357,US
12771,DE
12771,US
15070,US
10323,US
9595,US
9941,US
39833,US
10725,US
9544,DE
9544,LU
9544,GB
9544,US
13536,US
20616,US
10611,US
4108,US
4108,FR
9685,US
14361,US
12262,US
9093,GB
9093,US
9039,DE
9039,US
11013,US
129,JP
11529,US
9533,DE
9533,US
53049,US
7501,US
13768,US
1430,US
12779,IT
12779,GB
15992,AU
15992,US
1613,CA
1613,GB
565,JP
565,US
14112,US
21925,US
10285,US
11009,US
10805,US
47942,US
15668,US
19429,US
21294,CA
11644,US
24274,US
11646,AU
42149,US
73247,US
38665,US
19507,US
17450,US
41280,US
9645,AU
9645,US
9012,US
1360,MX
1360,US
1360,CA
12208,GB
12208,US
8427,US
9021,US
13526,FR
13526,US
9280,CH
9280,FR
65,US
10712,US
672,DE
672,GB
672,US
13888,US
43089,AU
9538,CA
47890,NL
47890,US
36669,GB
36669,US
10426,US
15074,US
2103,US
9016,US
13945,US
14433,GB
9932,AU
9932,US
13369,US
2757,US
7299,US
17360,US
40952,US
16363,US
67772,US
13497,US
201,US
2755,US
121,NZ
121,US
1429,US
13435,US
3131,US
3131,IT
2642,AU
2642,US
2149,DE
2149,US
25848,IT
25848,US
81048,US
11706,IT
11706,US
640,US
1574,US
590,US
423,FR
423,DE
423,PL
423,GB
4912,US
12090,DE
12090,US
9582,US
598,BR
598,FR
8073,FR
12253,US
9358,US
10894,US
10724,US
9919,DE
9919,US
6038,HK
6038,US
9480,US
14873,AU
14873,US
12139,US
18587,US
17264,US
33364,US
33851,GB
4911,DE
4911,GB
4911,US
16072,US
11615,DE
11615,GB
11615,US
11635,US
10623,US
10678,US
9567,US
455,IN
455,DE
455,GB
455,US
10632,US
36362,US
2671,JP
42618,US
9557,DE
9557,US
6171,US
29912,US
28881,US
10782,US
9341,US
9341,CA
9341,DE
8409,DE
8409,US
1817,US
21052,FR
21052,US
9506,US
24982,MX
24982,US
2662,US
13370,US
994,GB
994,US
10514,US
16651,US
24961,US
31633,US
47762,US
2832,US
18736,US
36658,US
10708,US
604,AU
604,US
10720,DE
10720,US
1555,FR
310,US
12,US
9654,GB
9654,US
9902,DE
9902,US
584,US
11890,US
290,GB
290,US
10152,US
31246,US
17813,US
170,GB
9471,US
47676,US
43039,GR
43039,US
33454,US
1927,US
10327,US
296,DE
296,GB
296,US
302,FR
302,GB
22,US
8698,CZ
8698,DE
8698,GB
8698,US
8961,US
9486,FR
9486,GB
1996,US
1996,DE
1996,JP
1996,GB
4464,US
12279,US
54580,ES
54580,FR
54580,IT
430,US
5185,GB
8273,US
8046,US
10330,US
9257,US
6466,CA
6466,IT
6466,US
2055,US
14926,US
10923,CA
10923,US
18573,US
41759,US
19053,US
11206,US
13154,US
636,US
26198,GB
35073,US
9362,US
12268,GB
12268,US
10999,US
32316,US
11351,US
9616,DE
9616,US
1415,NL
1415,US
11547,US
7270,US
1428,US
153,JP
153,US
9584,GB
9584,US
8408,US
8408,JP
2687,FR
2687,US
16323,US
19064,US
277,DE
277,HU
277,GB
277,US
10159,US
10934,IT
10934,US
321,CA
837,CA
19666,IN
821,DE
821,US
37672,US
891,US
10881,JP
10881,PL
10438,US
650,US
10337,US
37753,US
11046,GB
11046,US
7442,US
14425,US
16969,US
11338,US
33258,US
47898,US
25269,US
78146,US
30315,US
21219,US
2116,US
1584,DE
1584,US
2056,US
4997,CA
4997,US
322,US
11059,CA
11059,DE
11059,US
11775,US
24,US
11329,US
9373,US
28200,GB
10629,IE
10629,GB
10629,US
10944,AU
10944,US
13920,US
4256,US
1807,US
605,US
605,AU
10719,US
10719,DE
508,GB
508,US
10715,DE
10715,US
8619,US
21525,US
4970,US
470,US
11042,CA
11042,FR
10147,DE
10147,US
10756,US
9562,US
9556,US
10952,US
860,US
8010,AR
8010,FR
8010,GB
9292,US
11850,US
951,US
9319,US
1643,FR
1643,IT
2612,US
1825,US
10538,US
18410,US
19065,US
3176,JP
9261,TW
9261,US
20763,US
10021,US
14746,US
1626,FR
483,US
11018,US
43875,US
20325,US
898,US
618,US
3089,US
995,US
916,US
34456,US
15927,GB
15927,US
79,CN
10023,US
11519,US
11811,US
48129,US
10028,US
616,JP
616,US
616,NZ
587,US
6964,US
1792,US
122,NZ
122,US
8696,GB
11093,US
504,US
11007,US
2289,US
2289,GB
2289,RO
2289,IT
9620,CA
9620,US
10601,GB
10601,US
14844,GB
14844,US
5966,US
10718,AU
10718,US
11034,US
31395,US
15797,US
9548,US
17258,US
14239,US
55448,US
1954,CA
1954,US
13476,US
12634,US
15708,US
21301,US
20483,US
14292,US
1278,FR
1278,IT
1278,GB
29473,US
11023,US
11221,US
1824,US
11951,US
28963,US
9838,US
2099,US
11132,DE
11132,US
9352,US
615,US
11217,US
10677,US
13572,DE
13572,US
338,DE
2023,US
2023,MA
9384,US
17047,US
10591,US
1586,US
11169,DE
11169,US
2778,US
47168,GB
924,US
38,US
11081,US
16941,IE
16941,GB
9541,US
20304,US
553,DK
553,FI
553,FR
553,DE
553,IT
553,NL
553,NO
553,SE
553,GB
1487,US
13700,US
11358,US
19084,US
10733,US
14442,IE
14442,GB
2122,US
923,IT
923,JP
923,US
10338,GB
10843,US
15673,US
393,US
7220,DE
7220,US
237,FR
237,GB
10096,US
9509,GB
9509,US
11058,CA
11058,US
11141,DE
11141,IE
11141,GB
10625,US
7131,CZ
7131,US
652,US
652,MT
652,GB
10375,US
11864,US
9461,HK
9461,US
667,GB
700,GB
700,US
36670,DE
36670,GB
36670,US
11507,US
1162,US
13937,US
988,US
25508,US
42205,US
9624,US
44807,SG
9872,US
11474,US
9459,US
11577,US
14703,US
20481,US
7090,FR
7090,NL
7090,US
5902,GB
5902,US
14510,US
10690,IE
10690,GB
10690,US
40028,US
13282,US
203,US
26268,US
25853,US
68430,US
14554,US
29146,US
5722,US
51515,BR
51515,US
19185,US
13763,US
15573,US
10178,US
10734,US
809,US
435,US
4599,US
12657,US
673,GB
673,US
16617,FI
16617,NL
16617,GB
16617,US
2789,US
8920,US
9890,US
8193,US
47821,FR
47821,GB
26142,US
27017,US
52959,US
18712,US
9372,US
44695,US
9542,US
17820,US
10204,DE
10204,IE
10204,GB
10204,US
9472,DE
9472,US
594,US
12153,US
11036,US
1997,FR
1997,GB
26520,US
16136,US
2334,FR
1777,US
