movie_id,collection_id
21301,176097
9838,135502
10677,86058
17047,91427
553,1952
1487,17235
11358,299748
2122,103577
923,261590
393,2883
10625,99606
7131,109608
667,645
700,645
36670,645
25508,272673
13282,434533
26268,434270
809,2150
673,1241
2789,2794
8920,86115
9372,475802
44695,240690
9542,476054
2334,211721
558,556
80,123800
8699,93791
11247,437451
2502,31562
11282,30663
11130,107674
395,115762
10762,146534
11026,12263
24924,136218
1577,17255
1970,1974
176,656
9806,468222
11249,10455
9801,8936
2059,52984
11836,275402
163,304
36648,735
17102,123724
34376,124951
12088,86341
35610,145784
844,287016
4689,4563
670,4563
83,86113
10320,14563
693,51509
11804,102777
11633,87800
11637,176118
12142,149704
8968,96937
561,437628
3040,3106
4551,91698
187,135179
10065,397842
11679,52785
1895,10
953,14740
12700,12263
9779,17368
272,263
11451,12087
11683,261590
9738,9744
6519,332357
11453,95664
9335,9518
7553,93731
11968,174386
533,529
9763,110177
1656,1657
215,656
1951,1952
25,285564
9885,268098
674,1241
411,420
9641,114783
10045,85946
168705,97307
1690,86578
10982,87255
834,2326
11565,44979
11283,35792
9286,8864
33061,123218
9975,55428
10053,276838
9682,124188
950,8354
18009,19285
9792,8918
46828,937
3093,86336
4257,4246
588,64748
8982,251970
956,87359
591,115776
36668,748
920,87118
58,295
2295,182813
9615,9485
1593,85943
1948,64751
9762,86092
15049,417491
5721,294834
12094,17178
7484,66761
1975,1974
8975,166373
3683,261382
214,656
13767,53159
36557,645
9836,92012
1246,1575
1251,261382
5393,141084
1931,160727
9992,85817
7516,96680
9966,164395
1248,9743
9958,101385
1250,90306
13185,159603
1271,125570
10294,86112
1268,103372
559,556
2269,3106
11798,376863
1562,1565
810,2150
285,295
298,304
1691,86578
9408,436295
1979,9744
1991,339577
1571,1570
2698,124949
1858,8650
675,1241
2503,31562
5174,90863
14144,228887
2082,126209
7737,17255
4517,100286
4513,91660
17202,143588
663,656
1620,390096
6477,167613
6637,52984
440,115762
8329,74508
7555,5039
9030,264335
11253,17235
8328,86092
13025,261590
28260,101471
155,263
8456,96676
10488,232844
1266,124881
13335,30663
1726,131292
8681,135483
13001,44215
2454,420
217,84
4564,50457
9502,77816
8909,462400
11631,458558
88751,72547
16007,102019
11802,118828
8836,19387
1735,1733
12289,96677
10188,17368
10483,86116
13515,105324
15206,127280
13812,123932
10527,14740
10764,645
11917,656
14405,87256
8966,33514
13387,9518
14306,230532
14756,70068
14435,264437
12437,2326
14560,328372
1977,1974
15268,261203
13207,9735
16353,94589
15472,24761
13804,9485
15092,64751
2080,453993
13475,115575
15384,96677
534,528
18360,85943
18785,86119
