movie_id,collection_id
14451,286038
8373,8650
8355,8354
767,1241
21407,165369
14869,135468
17134,221622
50719,256296
24150,126209
19912,8864
22794,177467
23827,41437
22804,656
22821,87186
18239,33514
19995,87096
10528,102322
23398,167613
33613,24761
32657,179919
23023,222634
10664,74508
12155,261307
31723,86668
23048,313576
10191,89137
28510,10713
18823,86780
23483,179892
33217,86110
10138,131292
23437,8581
37786,50457
10193,10194
10192,2150
24021,33514
34851,399
20352,86066
38365,180546
35019,35792
37472,70068
27578,126125
43593,104830
42194,294172
38358,177675
23631,210006
41233,86092
40264,278920
35791,17255
33909,52783
39691,87014
43933,306926
16290,17178
39514,163902
41436,41437
41439,656
12444,1241
38757,463959
10140,420
43919,124901
20526,63043
39451,51509
43947,219691
27582,280504
38322,44979
49018,228446
60307,86110
46523,124426
41446,2602
46195,229932
10195,131296
56780,166381
51497,9485
46849,264914
1865,295
45243,86119
49444,77816
49538,748
35688,143588
38356,8650
51540,280588
49013,87118
12445,1241
1771,131295
41513,134897
12819,241729
63943,159616
61791,173710
55779,8864
55465,30663
58151,230161
52015,473843
24428,86311
60935,479888
72571,41437
58233,86117
64328,256377
50619,33514
65759,92012
76163,126125
70160,131635
49026,263
49040,31562
58574,102322
56292,87359
55301,167613
62837,288491
52520,2326
57809,107465
48492,222639
65086,315560
72545,72547
71676,90306
64688,212562
57165,86780
10679,312977
71552,2806
94329,257960
74534,306937
67660,239430
41154,86055
58595,393379
70981,135416
80321,14740
72105,266672
77930,328247
1930,125574
57800,8354
37724,645
82650,86110
71668,104830
114150,306031
71679,17255
82675,135483
82507,357173
76492,185103
57089,87255
117691,244500
82990,41437
94348,142680
61012,64748
82690,404825
97430,334356
50620,33514
85446,86092
49051,121938
75780,403374
76617,111751
139038,251937
47964,1570
122857,10713
132344,123800
146203,177675
49519,464577
117263,386534
4258,4246
68721,131292
54138,115575
109439,86119
82992,9485
75656,382685
49521,209131
158015,256322
62211,137696
68726,363369
72190,416468
93456,86066
138843,313086
76170,453993
76285,179919
77931,134897
23535,164397
138832,297923
109418,180546
59859,179892
87421,2794
151960,270252
220714,419784
109451,177467
106747,210006
208134,17178
76338,131296
146304,243598
101299,131635
57158,121938
109445,386382
109443,93791
17478,44976
227348,41437
168530,376650
137094,192492
157350,283579
217993,256287
137106,325470
97020,5547
53182,125570
100402,131295
145220,256377
180299,257960
102382,125574
249660,409343
172385,229932
195589,400700
127585,748
177677,87359
187017,212562
82702,89137
91314,8650
218836,270252
119450,173710
238636,256322
118340,284433
138103,126125
243683,86092
98566,401562
189,135179
199933,166381
198663,295130
250546,402074
245891,404609
242512,426103
199534,268098
131631,131635
100042,96665
227735,288491
192558,282971
135397,328
227159,280588
270946,14740
294254,295130
122917,121938
207703,391860
181533,85943
260346,135483
87101,528
288158,315560
208763,428046
76341,8945
280092,228446
140607,10
99861,86311
102899,422834
293660,448150
283995,284433
271110,131295
246655,748
164372,374930
216015,344830
243938,313576
228165,275402
132759,352020
265712,148065
262500,283579
39385,115840
168259,9485
256961,328372
249070,390096
254470,306031
58333,341455
131634,131635
272878,456778
262504,283579
259316,435259
328111,427084
47933,304378
14194,44976
214756,266672
211672,86066
206647,645
296099,108693
209112,209131
264999,328247
283445,357173
287948,9518
86868,115840
159824,185103
297762,468552
146301,41437
312221,1575
329833,352789
274167,473971
140300,77816
201386,385863
323675,376650
267860,386534
302688,389767
290595,393379
325133,400700
326423,176097
127380,137697
241259,261307
291805,382685
308531,401562
259693,313086
43074,2980
324668,31562
316727,256322
278154,8354
278924,280504
95610,8936
36046,243738
351211,64750
207932,115776
335796,426103
343611,403374
338964,423173
330459,10
346672,2326
47971,52785
324849,325470
14564,14563
324552,404609
263115,453993
180863,424202
173897,17255
341174,344830
126889,135416
337339,9485
260514,87118
324852,86066
281338,173710
335988,8650
